sku_code,gender,category,product,fabric_type,composition,gsm_range,garment_weight_kg,accessory_profile,process_profile,fabric_co2_factor_kg_per_kg,accessory_co2_kg,process_co2_kg,estimated_total_co2_kg,data_source
ZD-SYN-00001,Unisex,Top,Basic T-Shirt,Interlock,88% Polyester / 12% Elastane,180-240,0.171,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,3.06,synthetic_v1
ZD-SYN-00002,Men,Top,Long Sleeve Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.203,Label + Drawcord,Standard Knit Route,5.0,0.08,1.95,3.045,synthetic_v1
ZD-SYN-00003,Unisex,Bottom,Shorts,Rib Knit,97% Cotton / 3% Elastane,180-260,0.2,Label Set,Performance Route,5.0,0.03,2.75,3.78,synthetic_v1
ZD-SYN-00004,Women,Outerwear,Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.678,Label + Button Set,Standard Knit Route,5.0,0.07,1.95,5.41,synthetic_v1
ZD-SYN-00005,Women,Bottom,Sweatpant,Interlock,88% Polyester / 12% Elastane,180-240,0.571,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,5.54,synthetic_v1
ZD-SYN-00006,Men,Activewear,Performance Tee,Fleece,70% Cotton / 30% Polyester,240-320,0.225,Label Set,Dyed Knit Route,5.8,0.03,2.35,3.685,synthetic_v1
ZD-SYN-00007,Unisex,Activewear,Performance Tee,Fleece,70% Cotton / 30% Polyester,240-320,0.148,Label Set,Dyed Knit Route,5.8,0.03,2.35,3.238,synthetic_v1
ZD-SYN-00008,Unisex,Activewear,Active Legging,Pique Knit,95% Cotton / 5% Elastane,180-220,0.293,Label Set,Standard Knit Route,5.1,0.03,1.95,3.474,synthetic_v1
ZD-SYN-00009,Men,Activewear,Performance Tee,Single Jersey,100% Cotton,140-180,0.185,Label + Drawcord,Dyed Knit Route,4.65,0.08,2.35,3.29,synthetic_v1
ZD-SYN-00010,Women,Activewear,Training Top,Interlock,88% Polyester / 12% Elastane,180-240,0.192,Label + Hangtag,Performance Route,6.2,0.05,2.75,3.99,synthetic_v1
ZD-SYN-00011,Unisex,Top,Long Sleeve Tee,Pique Knit,95% Cotton / 5% Elastane,180-220,0.246,Label + Hangtag,Standard Knit Route,5.1,0.05,1.95,3.255,synthetic_v1
ZD-SYN-00012,Unisex,Activewear,Training Top,Interlock,88% Polyester / 12% Elastane,180-240,0.259,Label Set,Standard Knit Route,6.2,0.03,1.95,3.586,synthetic_v1
ZD-SYN-00013,Women,Activewear,Gym Short,Single Jersey,100% Cotton,140-180,0.248,Label + Hangtag,Performance Route,4.65,0.05,2.75,3.953,synthetic_v1
ZD-SYN-00014,Unisex,Activewear,Training Top,Fleece,70% Cotton / 30% Polyester,240-320,0.215,Label + Drawcord,Performance Route,5.8,0.08,2.75,4.077,synthetic_v1
ZD-SYN-00015,Men,Activewear,Training Top,French Terry,80% Cotton / 20% Polyester,220-300,0.23,Label + Button Set,Performance Route,5.55,0.07,2.75,4.096,synthetic_v1
ZD-SYN-00016,Men,Outerwear,Sweatshirt,Pique Knit,95% Cotton / 5% Elastane,180-220,0.627,Label + Drawcord,Standard Knit Route,5.1,0.08,1.95,5.228,synthetic_v1
ZD-SYN-00017,Unisex,Top,Fashion Tee,Pique Knit,95% Cotton / 5% Elastane,180-220,0.145,Label + Drawcord,Performance Route,5.1,0.08,2.75,3.569,synthetic_v1
ZD-SYN-00018,Women,Outerwear,Zip Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.758,Label + Button Set,Performance Route,5.0,0.07,2.75,6.61,synthetic_v1
ZD-SYN-00019,Unisex,Top,Basic T-Shirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.187,Label + Button Set,Performance Route,5.0,0.07,2.75,3.755,synthetic_v1
ZD-SYN-00020,Men,Activewear,Gym Short,Fleece,70% Cotton / 30% Polyester,240-320,0.248,Label Set,Performance Route,5.8,0.03,2.75,4.218,synthetic_v1
ZD-SYN-00021,Unisex,Activewear,Training Top,Single Jersey,100% Cotton,140-180,0.221,Label + Button Set,Performance Route,4.65,0.07,2.75,3.848,synthetic_v1
ZD-SYN-00022,Women,Bottom,Shorts,Pique Knit,95% Cotton / 5% Elastane,180-220,0.212,Label Set,Performance Route,5.1,0.03,2.75,3.861,synthetic_v1
ZD-SYN-00023,Women,Top,Basic T-Shirt,Interlock,88% Polyester / 12% Elastane,180-240,0.179,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,3.11,synthetic_v1
ZD-SYN-00024,Unisex,Top,Basic T-Shirt,Fleece,70% Cotton / 30% Polyester,240-320,0.221,Label Set,Performance Route,5.8,0.03,2.75,4.062,synthetic_v1
ZD-SYN-00025,Unisex,Bottom,Sweatpant,Pique Knit,95% Cotton / 5% Elastane,180-220,0.554,Label + Button Set,Performance Route,5.1,0.07,2.75,5.645,synthetic_v1
ZD-SYN-00026,Unisex,Outerwear,Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.544,Label + Hangtag,Performance Route,5.55,0.05,2.75,5.819,synthetic_v1
ZD-SYN-00027,Unisex,Activewear,Gym Short,Fleece,70% Cotton / 30% Polyester,240-320,0.182,Label Set,Standard Knit Route,5.8,0.03,1.95,3.036,synthetic_v1
ZD-SYN-00028,Unisex,Activewear,Performance Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.162,Label + Hangtag,Performance Route,5.0,0.05,2.75,3.61,synthetic_v1
ZD-SYN-00029,Men,Top,Basic T-Shirt,Single Jersey,100% Cotton,140-180,0.166,Label Set,Dyed Knit Route,4.65,0.03,2.35,3.152,synthetic_v1
ZD-SYN-00030,Unisex,Bottom,Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.216,Label + Hangtag,Performance Route,5.8,0.05,2.75,4.053,synthetic_v1
ZD-SYN-00031,Women,Outerwear,Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.479,Label + Hangtag,Standard Knit Route,5.8,0.05,1.95,4.778,synthetic_v1
ZD-SYN-00032,Women,Outerwear,Sweatshirt,Fleece,70% Cotton / 30% Polyester,240-320,0.416,Label + Drawcord,Performance Route,5.8,0.08,2.75,5.243,synthetic_v1
ZD-SYN-00033,Women,Top,Basic T-Shirt,French Terry,80% Cotton / 20% Polyester,220-300,0.18,Label + Button Set,Standard Knit Route,5.55,0.07,1.95,3.019,synthetic_v1
ZD-SYN-00034,Men,Bottom,Sweatpant,Fleece,70% Cotton / 30% Polyester,240-320,0.473,Label + Hangtag,Dyed Knit Route,5.8,0.05,2.35,5.143,synthetic_v1
